DigitalOrderItemId,DeliveryPacketId,AffectedItemQuantity,TransactionAmount,BaseCurrencyCode,ClaimCode,FXTransactionAmount,FXCurrencyCode,MonetaryComponentTypeCode,OfferTypeCode
EN01F83VBGL9GM3R821RCV1LLGUMSC48USUD1G567LI9O7KJGSAG,N6OFT6AA8L2EAOHQKNSESHFIP89I5LRV0247VONV651NPCGUPKBG,1,0.0,USD,Not Applicable,Not Applicable,Not Applicable,Price Amount,Not Applicable
EN01F83VBGL9GM3R821RCV1LLGUMSC48USUD1G567LI9O7KJGSAG,N6OFT6AA8L2EAOHQKNSESHFIP89I5LRV0247VONV651NPCGUPKBG,1,0.0,USD,Not Applicable,Not Applicable,Not Applicable,Tax,Not Applicable
EKD9SKO2OCV32HQLTOKT8EVEUGRKDFDJ64EJ16DQ998NBK1AREGG,RC24IDITTT65AV9O7RPU4PIVOHC43LRQBKEC0HJDMIQ5MPK8H4IG,1,-0.01,USD,T06PK8N1KB805DA7,Not Applicable,Not Applicable,Price Amount,Coupon
EKD9SKO2OCV32HQLTOKT8EVEUGRKDFDJ64EJ16DQ998NBK1AREGG,RC24IDITTT65AV9O7RPU4PIVOHC43LRQBKEC0HJDMIQ5MPK8H4IG,1,3.99,USD,Not Applicable,Not Applicable,Not Applicable,Price Amount,Not Applicable
EKD9SKO2OCV32HQLTOKT8EVEUGRKDFDJ64EJ16DQ998NBK1AREGG,RC24IDITTT65AV9O7RPU4PIVOHC43LRQBKEC0HJDMIQ5MPK8H4IG,1,-1.0,USD,T0M3U5QDQXJ7LKA1,Not Applicable,Not Applicable,Price Amount,Coupon
EKD9SKO2OCV32HQLTOKT8EVEUGRKDFDJ64EJ16DQ998NBK1AREGG,RC24IDITTT65AV9O7RPU4PIVOHC43LRQBKEC0HJDMIQ5MPK8H4IG,1,0.0,USD,T0M3U5QDQXJ7LKA1,Not Applicable,Not Applicable,Tax,Coupon
EKD9SKO2OCV32HQLTOKT8EVEUGRKDFDJ64EJ16DQ998NBK1AREGG,RC24IDITTT65AV9O7RPU4PIVOHC43LRQBKEC0HJDMIQ5MPK8H4IG,1,0.0,USD,T06PK8N1KB805DA7,Not Applicable,Not Applicable,Tax,Coupon
EKD9SKO2OCV32HQLTOKT8EVEUGRKDFDJ64EJ16DQ998NBK1AREGG,RC24IDITTT65AV9O7RPU4PIVOHC43LRQBKEC0HJDMIQ5MPK8H4IG,1,0.0,USD,Not Applicable,Not Applicable,Not Applicable,Tax,Not Applicable
335EDVHT2RCG4L8UCV0C3KIF12D48TSV5SKU9RMH158BU9ULBF9G,QGDA9997L87RN4GB6I0ICI01M8CTUBVMI14OEC7187AK43RAGII0,1,12.99,USD,Not Applicable,Not Applicable,Not Applicable,Price Amount,Not Applicable
335EDVHT2RCG4L8UCV0C3KIF12D48TSV5SKU9RMH158BU9ULBF9G,QGDA9997L87RN4GB6I0ICI01M8CTUBVMI14OEC7187AK43RAGII0,1,0.0,USD,Not Applicable,Not Applicable,Not Applicable,Tax,Not Applicable
