OrderId,PaymentCode,PaymentInformation,IsActive,PaymentAmount,BaseCurrencyCode,ForeignExchangeRate,ForeignExchangeCurrencyCode,AmountPaidFromAmazonAccount
D01-2912752-9453050,Credit Card,Not Available,true,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
D01-2912752-9453050,Credit Card,Not Available,true,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
D01-2912752-9453050,Credit Card,Not Available,true,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
D01-2912752-9453050,Credit Card,Not Available,true,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
D01-2912752-9453050,Credit Card,Not Available,true,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
D01-2912752-9453050,Credit Card,Not Available,true,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
D01-5264166-7299409,Credit Card,Not Available,true,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
D01-3716770-6813059,Credit Card,Not Available,true,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
D01-3716770-6813059,Credit Card,Not Available,true,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
D01-3716770-6813059,Credit Card,Not Available,true,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
D01-3716770-6813059,Credit Card,Not Available,true,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
D01-3716770-6813059,Credit Card,Not Available,true,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
D01-6755145-7894621,Credit Card,Not Available,true,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
D01-3408897-2160239,Credit Card,Not Available,true,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
D01-3408897-2160239,Credit Card,Not Available,true,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
D01-3408897-2160239,Credit Card,Not Available,true,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
D01-3408897-2160239,Credit Card,Not Available,true,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
D01-3408897-2160239,Credit Card,Not Available,true,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
D01-8371170-6931438,Credit Card,Not Available,true,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
D01-8371170-6931438,Credit Card,Not Available,true,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
D01-8371170-6931438,Credit Card,Not Available,true,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
D01-8371170-6931438,Credit Card,Not Available,true,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
D01-8371170-6931438,Credit Card,Not Available,true,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
D01-0780696-5670666,Credit Card,Not Available,true,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
D01-0780696-5670666,Credit Card,Not Available,true,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
D01-0780696-5670666,Credit Card,Not Available,true,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
D01-0780696-5670666,Credit Card,Not Available,true,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
D01-0780696-5670666,Credit Card,Not Available,true,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
D01-0780696-5670666,Credit Card,Not Available,true,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
D01-0780696-5670666,Credit Card,Not Available,true,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
D01-0780696-5670666,Credit Card,Not Available,true,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
D01-4470599-7565000,Credit Card,Not Available,true,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
