credit_card_status,credit_card_expiry_date,marketplace_name,last_updated_date
Active, 06/17,US, 07/01/2015
Active, 06/17,US, 11/01/2015
Active, 06/17,US, 12/01/2015
Active, 06/17,US, 03/01/2016
Active, 06/17,US, 04/01/2016
Active, 06/17,US, 06/01/2016
Active, 06/17,US, 07/01/2016
Active, 09/19,US, 08/01/2016
Active, 09/19,US, 09/01/2016
Active, 09/19,US, 11/01/2016
Active, 11/19,US, 01/01/2017
Active, 11/19,US, 03/01/2017
Active, 11/19,US, 06/01/2017
Active, 06/22,US, 07/01/2017
Active, 06/22,US, 08/01/2017
Active, 06/22,US, 10/01/2017
Active, 06/22,US, 01/01/2018
Active, 06/22,US, 02/01/2018
Active, 06/22,US, 04/01/2018
NA, 06/22,US, 06/25/2018
NA, 06/22,US, 08/27/2018
NA, 06/22,US, 10/15/2018
NA, 06/22,US, 12/03/2018
NA, 06/22,US, 02/04/2019
NA, 12/23,US, 03/25/2019
Active, 12/23,US, 04/29/2019
Active, 12/23,US, 06/17/2019
NA, 12/23,US, 09/23/2019
Active, 12/23,US, 12/09/2019
NA, 12/23,US, 02/24/2020
NA, 12/23,US, 03/16/2020
NA, 12/23,US, 03/23/2020
NA, 12/23,US, 04/06/2020
NA, 12/23,US, 04/20/2020
NA, 12/23,US, 07/06/2020
Active, 12/23,US, 11/09/2020
NA, 11/25,US, 03/22/2021
NA, 11/25,US, 06/07/2021
NA, 11/25,US, 07/26/2021
NA, 11/25,US, 10/18/2021
