past_year_purchase_quantity,past_year_purchase_value,amazon_account_tenure_in_months,payment_decline_number,marketplace_name,last_updated_date
0,0,189,0,US, 07/01/2015
0,0,208,0,US, 07/01/2015
0,0,219,0,US, 07/01/2015
0,0,231,0,US, 07/01/2015
0,0,205,0,US, 07/01/2015
0,0,203,0,US, 07/01/2015
0,0,233,0,US, 07/01/2015
0,0,167,0,US, 07/01/2015
0,0,237,0,US, 07/01/2015
0,0,171,0,US, 07/01/2015
0,0,176,0,US, 07/01/2015
0,0,180,3,US, 07/01/2015
0,0,226,0,US, 07/01/2015
0,0,186,3,US, 07/01/2015
0,0,175,0,US, 07/01/2015
0,0,222,0,US, 07/01/2015
0,0,218,0,US, 07/01/2015
0,0,174,0,US, 07/01/2015
0,0,195,0,US, 07/01/2015
0,0,218,0,US, 07/01/2015
0,0,198,0,US, 07/01/2015
0,0,201,0,US, 07/01/2015
0,0,209,0,US, 07/01/2015
0,0,200,0,US, 07/01/2015
0,0,162,0,US, 07/01/2015
0,0,213,0,US, 07/01/2015
0,0,219,0,US, 07/01/2015
0,0,166,0,US, 07/01/2015
0,0,193,0,US, 07/01/2015
0,0,173,0,US, 07/01/2015
0,0,215,0,US, 07/01/2015
0,0,170,0,US, 07/01/2015
0,0,187,3,US, 07/01/2015
0,0,182,3,US, 07/01/2015
0,0,219,0,US, 07/01/2015
0,0,192,0,US, 07/01/2015
0,0,178,3,US, 07/01/2015
0,0,185,3,US, 07/01/2015
0,0,235,0,US, 07/01/2015
0,0,189,0,US, 11/01/2015
0,0,208,0,US, 11/01/2015
0,0,219,0,US, 11/01/2015
0,0,231,0,US, 11/01/2015
0,0,205,0,US, 11/01/2015
0,0,203,0,US, 11/01/2015
0,0,233,0,US, 11/01/2015
0,0,167,0,US, 11/01/2015
0,0,237,0,US, 11/01/2015
0,0,171,0,US, 11/01/2015
0,0,176,0,US, 11/01/2015
0,0,180,3,US, 11/01/2015
0,0,226,0,US, 11/01/2015
0,0,186,3,US, 11/01/2015
0,0,175,0,US, 11/01/2015
0,0,222,0,US, 11/01/2015
0,0,218,0,US, 11/01/2015
0,0,174,0,US, 11/01/2015
0,0,195,0,US, 11/01/2015
0,0,218,0,US, 11/01/2015
0,0,198,0,US, 11/01/2015
0,0,201,0,US, 11/01/2015
0,0,209,0,US, 11/01/2015
0,0,200,0,US, 11/01/2015
0,0,162,0,US, 11/01/2015
0,0,213,0,US, 11/01/2015
0,0,219,0,US, 11/01/2015
0,0,166,0,US, 11/01/2015
0,0,193,0,US, 11/01/2015
0,0,173,0,US, 11/01/2015
0,0,215,0,US, 11/01/2015
0,0,170,0,US, 11/01/2015
0,0,187,3,US, 11/01/2015
0,0,182,3,US, 11/01/2015
0,0,219,0,US, 11/01/2015
0,0,192,0,US, 11/01/2015
0,0,178,3,US, 11/01/2015
0,0,185,3,US, 11/01/2015
0,0,235,0,US, 11/01/2015
0,0,189,0,US, 12/01/2015
0,0,208,0,US, 12/01/2015
0,0,219,0,US, 12/01/2015
0,0,231,0,US, 12/01/2015
0,0,205,0,US, 12/01/2015
0,0,203,0,US, 12/01/2015
0,0,233,0,US, 12/01/2015
0,0,167,0,US, 12/01/2015
0,0,237,0,US, 12/01/2015
0,0,171,0,US, 12/01/2015
0,0,176,0,US, 12/01/2015
0,0,180,3,US, 12/01/2015
0,0,226,0,US, 12/01/2015
0,0,186,3,US, 12/01/2015
0,0,175,0,US, 12/01/2015
0,0,222,0,US, 12/01/2015
0,0,218,0,US, 12/01/2015
0,0,174,0,US, 12/01/2015
0,0,195,0,US, 12/01/2015
0,0,218,0,US, 12/01/2015
0,0,198,0,US, 12/01/2015
0,0,201,0,US, 12/01/2015
0,0,209,0,US, 12/01/2015
0,0,200,0,US, 12/01/2015
0,0,162,0,US, 12/01/2015
0,0,213,0,US, 12/01/2015
0,0,219,0,US, 12/01/2015
0,0,166,0,US, 12/01/2015
0,0,193,0,US, 12/01/2015
0,0,173,0,US, 12/01/2015
0,0,215,0,US, 12/01/2015
0,0,170,0,US, 12/01/2015
0,0,187,3,US, 12/01/2015
0,0,182,3,US, 12/01/2015
0,0,219,0,US, 12/01/2015
0,0,192,0,US, 12/01/2015
0,0,178,3,US, 12/01/2015
0,0,185,3,US, 12/01/2015
0,0,235,0,US, 12/01/2015
0,0,189,0,US, 03/01/2016
0,0,208,0,US, 03/01/2016
0,0,219,0,US, 03/01/2016
0,0,231,0,US, 03/01/2016
0,0,205,0,US, 03/01/2016
0,0,203,0,US, 03/01/2016
0,0,233,0,US, 03/01/2016
0,0,167,0,US, 03/01/2016
0,0,237,0,US, 03/01/2016
0,0,171,0,US, 03/01/2016
0,0,176,0,US, 03/01/2016
0,0,180,3,US, 03/01/2016
0,0,226,0,US, 03/01/2016
0,0,186,3,US, 03/01/2016
0,0,175,0,US, 03/01/2016
0,0,222,0,US, 03/01/2016
0,0,218,0,US, 03/01/2016
0,0,174,0,US, 03/01/2016
