"DateAddedToCart","Source","ASIN","CartDomain","CartList","Quantity","OneClickBuyable","ToBeGiftWrapped","PrimeSubscription","Pantry","AddOn"
"04/22/2023 17:28:34 UTC","Retail","B00121UVU0","Not Applicable","active","1","Yes","No","No","No","No"
"04/22/2023 16:45:08 UTC","Retail","B07BJ8Q35G","Not Applicable","active","1","Yes","No","No","No","No"
"04/22/2023 14:51:17 UTC","Retail","B09WDBDGBZ","Not Applicable","active","1","Yes","No","No","No","No"
"04/18/2023 22:27:24 UTC","Retail","B09RY185JL","Not Applicable","active","1","Yes","No","No","No","No"
"04/17/2023 13:51:59 UTC","Retail","B08XVZ3Y1C","Not Applicable","active","1","Yes","No","No","No","No"
"04/16/2023 14:26:09 UTC","Retail","B0BQ2T2TH9","Not Applicable","saved","1","Yes","No","No","No","No"
"04/15/2023 22:59:15 UTC","Retail","B0000Y8H3S","Not Applicable","saved","1","Yes","No","No","No","No"
"04/14/2023 22:36:40 UTC","Retail","B094Z6RD8Y","Not Applicable","saved","1","Yes","No","No","No","No"
"04/13/2023 23:17:33 UTC","Retail","B0B248F28X","Not Applicable","saved","1","Yes","No","No","No","No"
"04/06/2023 17:20:24 UTC","Retail","B07BWNX7FN","Not Applicable","saved","1","Yes","No","No","No","No"
"03/28/2023 05:11:31 UTC","Retail","B09S5TZH5N","Not Applicable","saved","1","Yes","No","No","No","No"
"03/15/2023 15:01:05 UTC","Retail","B08C9HZ5YT","Not Applicable","saved","1","Yes","No","No","No","No"
"03/13/2023 03:07:05 UTC","Retail","B078TNW3B4","Not Applicable","saved","1","Yes","No","No","No","No"
"03/09/2023 23:32:58 UTC","Retail","B07G1MWHNR","Not Applicable","saved","1","Yes","No","No","No","No"
"03/07/2023 10:26:06 UTC","Retail","1534323457","Not Applicable","saved","1","Yes","No","No","No","No"
"02/20/2023 19:58:18 UTC","Retail","B015OW3GJK","Not Applicable","saved","2","Yes","No","No","No","No"
"02/16/2023 04:15:45 UTC","Retail","B088MLC8PH","Not Applicable","saved","1","Yes","No","No","No","No"
"02/16/2023 02:11:12 UTC","Retail","B0BN1T9PJJ","Not Applicable","saved","1","Yes","No","No","No","No"
"02/16/2023 02:10:16 UTC","Retail","B0B72P2DBG","Not Applicable","saved","1","No","No","No","No","No"
"02/13/2023 23:37:22 UTC","Retail","B08N65R9SV","Not Applicable","saved","1","Yes","No","No","No","No"
"02/12/2023 00:03:30 UTC","Retail","B09PQKKS1X","Not Applicable","saved","1","Yes","No","No","No","No"
"02/05/2023 20:08:28 UTC","Retail","B09PTGZM6Y","Not Applicable","saved","1","Yes","No","No","No","No"
"02/04/2023 22:26:15 UTC","Retail","B07M6Q5MGF","Not Applicable","saved","1","Yes","No","No","No","No"
"02/02/2023 20:25:03 UTC","Retail","B0BKR62CMT","Not Applicable","saved","1","Yes","No","No","No","No"
"02/02/2023 20:24:00 UTC","Retail","B09C1JKHSN","Not Applicable","saved","1","Yes","No","No","No","No"
"01/30/2023 00:14:38 UTC","Retail","B086L29DL9","Not Applicable","saved","1","Yes","No","No","No","No"
"01/29/2023 01:44:17 UTC","Retail","B012VKW900","Not Applicable","saved","1","Yes","No","No","No","No"
"01/28/2023 23:54:49 UTC","Retail","B08BCFSHWL","Not Applicable","saved","1","Yes","No","No","No","No"
"01/28/2023 22:52:41 UTC","Retail","B0824RDBC7","Not Applicable","saved","1","Yes","No","No","No","No"
"01/28/2023 22:51:18 UTC","Retail","B0B3HTKRBB","Not Applicable","saved","2","No","No","No","No","No"
"01/28/2023 22:49:45 UTC","Retail","B09ZNRZXXP","Not Applicable","saved","1","Yes","No","No","No","No"
"01/28/2023 22:34:15 UTC","Retail","B0BGC46LJ1","Not Applicable","saved","1","Yes","No","No","No","No"
"01/23/2023 10:37:55 UTC","Retail","B091CK7GMR","Not Applicable","saved","1","Yes","No","No","No","No"
"01/22/2023 15:17:01 UTC","Retail","B083VMRGHR","Not Applicable","saved","1","Yes","No","No","No","No"
"01/06/2023 17:54:58 UTC","Retail","B098Q6CF65","Not Applicable","saved","1","Yes","No","No","No","No"
"01/02/2023 22:26:57 UTC","Retail","B00TJ6XLOS","Not Applicable","saved","1","No","No","No","No","No"
"12/31/2022 21:30:48 UTC","Retail","B072K3T45R","Not Applicable","saved","1","Yes","No","No","No","No"
"12/28/2022 19:52:52 UTC","Retail","B08HF7PBLJ","Not Applicable","saved","1","No","No","No","No","No"
"12/26/2022 23:24:09 UTC","Retail","B08JB1NKN5","Not Applicable","saved","1","Yes","No","No","No","No"
"12/20/2022 00:56:53 UTC","Retail","B017J293OU","Not Applicable","saved","1","Yes","No","No","No","No"
"12/10/2022 14:53:15 UTC","Retail","B09FM3CM5F","Not Applicable","saved","1","Yes","No","No","No","No"
"12/10/2022 14:53:06 UTC","Retail","B09NP1591G","Not Applicable","saved","1","Yes","No","No","No","No"
"12/02/2022 22:05:29 UTC","Retail","B09ZNM687Z","Not Applicable","saved","1","Yes","No","No","No","No"
"12/02/2022 12:07:54 UTC","Retail","B09HVD9C45","Not Applicable","saved","1","Yes","No","No","No","No"
"12/01/2022 03:16:15 UTC","Retail","B07MLRS85P","Not Applicable","saved","1","Yes","No","No","No","No"
"11/25/2022 17:23:53 UTC","Retail","B088NRLMPV","Not Applicable","saved","1","Yes","No","No","No","No"
"11/25/2022 05:49:37 UTC","Retail","0062407805","Not Applicable","saved","1","Yes","No","No","No","No"
"11/08/2022 13:26:22 UTC","Retail","B00D1ARZMC","Not Applicable","saved","1","Yes","Yes","No","No","No"
"11/07/2022 13:04:06 UTC","Retail","B00IY62BQS","Not Applicable","saved","1","Yes","No","No","No","No"
"10/10/2022 16:45:34 UTC","Retail","B06XD6XBCM","Not Applicable","saved","1","Yes","No","No","No","No"
"09/29/2022 00:59:20 UTC","Retail","B07KW5ZV6M","Not Applicable","saved","1","Yes","No","No","No","No"
"09/23/2022 02:16:26 UTC","Retail","B088T6CWDX","Not Applicable","saved","1","Yes","No","No","No","No"
"09/15/2022 01:19:04 UTC","Retail","B07CZXBBHL","Not Applicable","saved","1","Yes","No","No","No","No"
"09/11/2022 17:44:52 UTC","Retail","B0819WT3HY","Not Applicable","saved","1","Yes","No","No","No","No"
"09/10/2022 18:39:22 UTC","Retail","B09MJX3TYH","Not Applicable","saved","2","Yes","No","No","No","No"
"09/06/2022 18:29:02 UTC","Retail","B07ZSD9DS9","Not Applicable","saved","1","Yes","No","No","No","No"
"09/06/2022 01:39:16 UTC","Retail","B074XC8B2D","Not Applicable","saved","1","No","No","No","No","No"
"09/01/2022 03:35:39 UTC","Retail","B09X9B2CC9","Not Applicable","saved","2","Yes","No","No","No","No"
"08/21/2022 16:11:38 UTC","Retail","B0893SNNKV","Not Applicable","saved","1","No","No","No","No","No"
"06/17/2022 07:22:54 UTC","Retail","B08L9F2SSJ","Not Applicable","saved","1","No","No","No","No","No"
"05/31/2022 01:39:53 UTC","Retail","B07RKTVQDR","Not Applicable","saved","1","Yes","No","No","No","No"
"05/31/2022 01:38:38 UTC","Retail","0525444467","Not Applicable","saved","1","Yes","No","No","No","No"
"05/31/2022 01:33:46 UTC","Retail","B08D3VJF5P","Not Applicable","saved","1","No","No","No","No","No"
"05/25/2022 08:12:15 UTC","Retail","B09964WTF5","Not Applicable","saved","1","Yes","No","No","No","No"
"05/23/2022 20:10:29 UTC","Retail","B01EZUCHOC","Not Applicable","saved","1","Yes","No","No","No","No"
"05/11/2022 01:23:38 UTC","Retail","B015TKUPIC","Not Applicable","saved","2","Yes","Yes","No","No","No"
"05/01/2022 14:36:45 UTC","Retail","B081TM1XJX","Not Applicable","saved","1","Yes","No","No","No","No"
"04/30/2022 21:22:03 UTC","Retail","B07WFJ53LP","Not Applicable","saved","1","Yes","No","No","No","No"
"04/30/2022 21:21:14 UTC","Retail","B07TVW9HGH","Not Applicable","saved","1","No","No","No","No","No"
"04/05/2022 01:15:01 UTC","Retail","B08XX5DRQT","Not Applicable","saved","1","Yes","No","No","No","No"
"03/16/2022 18:46:22 UTC","Retail","B00YQ5XFWA","Not Applicable","saved","1","No","No","No","No","No"
"02/15/2022 00:52:59 UTC","Retail","B01N5JMX8G","Not Applicable","saved","1","Yes","No","No","No","No"
"02/15/2022 00:52:13 UTC","Retail","B01MS1MHET","Not Applicable","saved","2","Yes","No","No","No","No"
"02/04/2022 22:35:34 UTC","Retail","B075WQQG7C","Not Applicable","saved","1","No","No","No","No","No"
"02/03/2022 22:43:08 UTC","Retail","B099X4GKQ7","Not Applicable","saved","1","Yes","No","No","No","No"
"02/03/2022 03:30:52 UTC","Retail","B07T8KL6C6","Not Applicable","saved","1","No","No","No","No","No"
"01/31/2022 13:30:02 UTC","Retail","B08HH5PBG4","Not Applicable","saved","1","Yes","No","No","No","No"
"01/31/2022 00:16:39 UTC","Retail","B08XH1WTBT","Not Applicable","saved","1","Yes","No","No","No","No"
"01/30/2022 15:50:22 UTC","Retail","B09PFMY37W","Not Applicable","saved","1","No","No","No","No","No"
"01/28/2022 01:57:01 UTC","Retail","B07GBZ4Q68","Not Applicable","saved","1","Yes","No","No","No","No"
"01/26/2022 02:04:37 UTC","Retail","B09183CSKC","Not Applicable","saved","1","Yes","No","No","No","No"
"01/23/2022 16:09:19 UTC","Retail","B00000JHQG","Not Applicable","saved","1","No","No","No","No","No"
"01/23/2022 15:10:19 UTC","Retail","B00FUNK39K","Not Applicable","saved","1","Yes","No","No","No","No"
"01/23/2022 09:47:47 UTC","Retail","B07SQYX2FH","Not Applicable","saved","1","No","No","No","No","No"
"01/23/2022 02:41:51 UTC","Retail","B0002M3OVI","Not Applicable","saved","1","Yes","No","No","No","No"
"01/22/2022 14:02:40 UTC","Retail","B07VRZN9YS","Not Applicable","saved","1","Yes","No","No","No","No"
"01/22/2022 05:37:25 UTC","Retail","B081LM4J3G","Not Applicable","saved","1","No","No","No","No","No"
"01/19/2022 01:26:21 UTC","Retail","B01M360WG6","Not Applicable","saved","1","No","No","No","No","No"
