"OrderId","ContractId","DateOfReturn","ReturnAmount","ReturnAmountCurrency","ReturnReason","Resolution"
"114-8207157-3505865","4b7f4010-ccdd-4f01-8a30-7b74a75085be","2023-04-19T00:44:46Z","No Refund","Not Available","Defective/Does not work properly","Refund"
"113-8975707-9823441","19e84fe9-8a82-4e5e-9b9a-ada5702b3626","2023-03-23T16:05:43Z","720.79","USD","No longer needed/wanted","Refund"
"114-3756453-8594602","0bc7dd81-3365-422b-9541-774c451d5a52","2023-03-15T16:51:30Z","246.98","USD","Defective/Does not work properly","Refund"
"114-8768004-0809021","e7e6b0a2-cfa1-483d-b16f-e5cfc7bb9966","2023-03-03T20:44:31Z","75.79","USD","No longer needed/wanted","Refund"
"114-0729131-1987423","6da84a87-a48d-436c-b2ab-2d0c53bc3560","2023-02-22T01:37:11Z","132.49","USD","No longer needed/wanted","Refund"
"114-4224625-5739445","f9e22182-1afa-4172-aed8-3c034e1255fc","2023-02-14T16:30:30Z","61.43","USD","No longer needed/wanted","Refund"
"113-6359404-0517021","06483f67-14f0-499c-9709-9f8c21b68f67","2023-02-10T19:15:58Z","127.19","USD","No longer needed/wanted","Refund"
"114-2139354-2837003","94ef0b2b-d19f-40ee-9cd7-324dfeb5ef5b","2023-02-10T19:03:12Z","159.74","USD","No longer needed/wanted","Refund"
"114-6544471-8610656","dce5ab21-eb2e-4922-a9d4-545635547bc0","2022-09-16T23:18:49Z","36.99","USD","Too small","Refund"
"113-5487935-8678627","b670b890-bed3-4ebe-9980-f1a859ff733d","2022-02-19T15:23:21Z","No Refund","Not Available","No longer needed/wanted","Refund"
"113-6267908-2466615","4f613cfe-fb20-47f7-a361-71f8085ef312","2022-02-15T16:12:00Z","No Refund","Not Available","Defective/Does not work properly","Refund"
"113-8433501-2215424","437face4-f93f-3eb9-a355-e2bf1854f3be","2022-02-10T14:42:29Z","19.07","USD","No reason given","Refund"
"113-9634611-3578610","069b8668-9d85-4fdb-947d-d882bcf1699f","2022-01-09T19:40:00Z","423.76","USD","Unknown Reason","Refund"
"113-8830329-7814660","0a880bd0-c33c-4085-87e3-fb5628767b10","2022-01-07T00:27:23Z","No Refund","Not Available","Better price available","Refund"
"113-0637508-7773867","d020c669-50e7-4c3d-8ac7-1d8937f83853","2021-12-23T22:27:28Z","No Refund","Not Available","Item never arrived","Exchange"
"112-1433426-4743408","b62c3dbc-fc54-46d0-b968-85a5873ba30f","2021-10-04T15:38:57Z","57.530000000000001","USD","Unknown Reason","Refund"
"114-9289728-9797025","ce936ec0-f807-477d-a0d1-48963ccaa4c3","2021-08-14T21:18:57Z","180.19","USD","Accidental order","Refund"
"111-0647444-1965837","d073504a-6101-43c7-aefe-bbf4ef5a1c80","2021-01-19T13:15:15Z","105.95","USD","Defective/Does not work properly","Refund"
"111-0647444-1965837","00b80a69-275b-47e2-968f-c1cc8d0ac284","2021-01-19T13:14:37Z","23.31","USD","Defective/Does not work properly","Refund"
"111-5677342-6729010","b1bcc86c-2095-4b73-a179-2f48d3759514","2020-12-12T12:21:32Z","24.79","USD","Defective/Does not work properly","Refund"
"111-6525532-4133063","aa681140-b69a-4999-ba73-a54a0fa7f155","2020-12-12T12:19:35Z","19.07","USD","Damaged due to inappropriate packaging","Refund"
"111-8249073-4128211","b96cf923-4e0e-43c2-8651-c6a99ab71729","2020-11-04T16:08:17Z","11.94","USD","Defective/Does not work properly","Refund"
"114-3184624-5564223","89e07056-999f-4d83-9118-e4522c0274fa","2020-04-13T22:18:27Z","No Refund","Not Available","Different from website description","Refund"
"111-5643226-2379441","04a7c452-3929-4071-b3e9-aae93581b385","2020-01-14T18:46:54Z","No Refund","Not Available","Defective/Does not work properly","Refund"
"114-1512868-0865816","5c025c30-e68a-46f4-a462-e4dc8a1b5429","2019-09-30T15:38:17Z","No Refund","Not Available","Damaged during shipping","Exchange"
"111-7209463-0068263","a0d7661b-96f8-3002-ad0d-e3726cc057a9","2018-08-31T20:04:33Z","No Refund","Not Available","Missing Label","Refund"
"111-7209463-0068263","a0d7661b-96f8-3002-ad0d-e3726cc057a9","2018-08-31T20:04:33Z","No Refund","Not Available","Missing Label","Refund"
"111-7209463-0068263","a0d7661b-96f8-3002-ad0d-e3726cc057a9","2018-08-31T20:04:33Z","No Refund","Not Available","Missing Label","Refund"
"111-7209463-0068263","a0d7661b-96f8-3002-ad0d-e3726cc057a9","2018-08-31T20:04:33Z","No Refund","Not Available","Missing Label","Refund"
"111-7209463-0068263","a0d7661b-96f8-3002-ad0d-e3726cc057a9","2018-08-31T20:04:33Z","No Refund","Not Available","Missing Label","Refund"
"111-7209463-0068263","65784800-71d5-4aee-8f5d-45dd20afeca9","2018-08-27T05:17:37Z","No Refund","Not Available","Unknown Reason","Refund"
"111-7209463-0068263","65784800-71d5-4aee-8f5d-45dd20afeca9","2018-08-27T05:17:37Z","No Refund","Not Available","Unknown Reason","Refund"
"111-7209463-0068263","65784800-71d5-4aee-8f5d-45dd20afeca9","2018-08-27T05:17:37Z","No Refund","Not Available","Unknown Reason","Refund"
"111-7209463-0068263","65784800-71d5-4aee-8f5d-45dd20afeca9","2018-08-27T05:17:37Z","No Refund","Not Available","Unknown Reason","Refund"
"111-7209463-0068263","65784800-71d5-4aee-8f5d-45dd20afeca9","2018-08-27T05:17:37Z","No Refund","Not Available","Unknown Reason","Refund"
"111-2119818-9858619","86703d9e-729a-4e19-9bc5-4838c407b928","2018-06-06T22:55:17Z","20.99","USD","Defective/Does not work properly","Refund"
"111-3515274-9550650","0a889841-8caa-4df4-b708-9aba3787939e","2018-02-08T13:29:24Z","31.54","USD","Defective/Does not work properly","Refund"
"112-9736388-3345014","7e42241d-934d-3813-9e51-5ae426f1d6e1","2017-06-12T11:25:32Z","10.09","USD","Failed Delivery Attempts","Refund"
"002-8442813-6235404","eeca0fb0-f12c-40dd-9cda-8d3a1fa12a01","2016-12-20T19:05:15Z","No Refund","Not Available","Wrong size: too small/short","Refund"
"108-6448747-8971415","8c36ff79-9fc9-47dc-a2ff-f1cd00fdfafd","2016-12-20T16:24:00Z","85.98999999999999","USD","No longer needed/wanted","Refund"
"002-6483824-3616250","bc4ae44e-220e-4bd9-8282-21f8db2535d9","2016-10-02T20:34:35Z","No Refund","Not Available","Item never arrived","Exchange"
"002-6483824-3616250","bc4ae44e-220e-4bd9-8282-21f8db2535d9","2016-10-02T20:34:35Z","No Refund","Not Available","Item never arrived","Exchange"
"002-6483824-3616250","e5a95d3b-3dd5-4fd8-80c6-12312ac3608c","2016-10-01T04:27:23Z","No Refund","Not Available","Item never arrived","Exchange"
"002-6483824-3616250","e5a95d3b-3dd5-4fd8-80c6-12312ac3608c","2016-10-01T04:27:23Z","No Refund","Not Available","Item never arrived","Exchange"
