order id,replacement order id
002-6483824-3616250,115-6586805-5241015
113-8975707-9823441,No Replacement Order ID
114-9289728-9797025,No Replacement Order ID
D01-5966013-3984207,No Replacement Order ID
114-4224625-5739445,No Replacement Order ID
113-8433501-2215424,No Replacement Order ID
114-4224625-5739445,No Replacement Order ID
112-1433426-4743408,No Replacement Order ID
114-1512868-0865816,113-3581865-8937043
111-0647444-1965837,No Replacement Order ID
114-8768004-0809021,No Replacement Order ID
002-6483824-3616250,No Replacement Order ID
002-6483824-3616250,115-9766880-4081846
113-6593395-2011451,No Replacement Order ID
114-0729131-1987423,No Replacement Order ID
114-8768004-0809021,No Replacement Order ID
114-6544471-8610656,No Replacement Order ID
111-2119818-9858619,No Replacement Order ID
111-0647444-1965837,No Replacement Order ID
113-9634611-3578610,No Replacement Order ID
111-7209463-0068263,No Replacement Order ID
111-8249073-4128211,No Replacement Order ID
113-6359404-0517021,No Replacement Order ID
111-7209463-0068263,No Replacement Order ID
108-6448747-8971415,No Replacement Order ID
D01-8105104-3053058,No Replacement Order ID
114-9289728-9797025,No Replacement Order ID
113-0637508-7773867,113-6564129-2672235
114-3756453-8594602,No Replacement Order ID
114-6544471-8610656,No Replacement Order ID
111-0647444-1965837,No Replacement Order ID
111-7209463-0068263,No Replacement Order ID
113-0637508-7773867,113-6564129-2672235
114-0729131-1987423,No Replacement Order ID
111-6525532-4133063,No Replacement Order ID
111-7209463-0068263,No Replacement Order ID
112-9736388-3345014,No Replacement Order ID
002-6483824-3616250,115-9766880-4081846
112-1433426-4743408,No Replacement Order ID
D01-3036052-0051432,No Replacement Order ID
111-8249073-4128211,No Replacement Order ID
113-6359404-0517021,No Replacement Order ID
111-5677342-6729010,No Replacement Order ID
114-3756453-8594602,No Replacement Order ID
113-8894604-9890623,No Replacement Order ID
002-6483824-3616250,115-6586805-5241015
002-6483824-3616250,No Replacement Order ID
113-9634611-3578610,No Replacement Order ID
112-7108998-4672244,No Replacement Order ID
111-0753089-8617848,No Replacement Order ID
114-1512868-0865816,113-3581865-8937043
111-6525532-4133063,No Replacement Order ID
111-3515274-9550650,No Replacement Order ID
111-5677342-6729010,No Replacement Order ID
111-7209463-0068263,No Replacement Order ID
D01-3445713-3680212,No Replacement Order ID
114-2139354-2837003,No Replacement Order ID
111-0647444-1965837,No Replacement Order ID
114-2139354-2837003,No Replacement Order ID
