"Contract Unit Id","Order Id","Return Receivable Tracking ID","Return Receivable State","Return Receivable Creation Reason","Return Receivable Initiation Date"
"e7e6b0a2-cfa1-483d-b16f-e5cfc7bb9966#183e6155-e199-4142-b5f1-b9fd9bd1dde8","114-8768004-0809021","23703434361","Closed","AdvancedRefund","2023-03-23T17:35:37.224Z"
"0bc7dd81-3365-422b-9541-774c451d5a52#2fbc6f47-06c9-4766-87c2-0ada915e355f","114-3756453-8594602","23702946121","Closed","AdvancedRefund","2023-03-23T17:19:14.735Z"
"6da84a87-a48d-436c-b2ab-2d0c53bc3560#ad01e7f0-8a0f-4b4a-a1d4-46ba7ecb9e20","114-0729131-1987423","23165321111","Closed","AdvancedRefund","2023-02-22T16:56:08.124Z"
"f9e22182-1afa-4172-aed8-3c034e1255fc#8d265256-6bae-4252-814c-25efadc7094f","114-4224625-5739445","23024138191","Closed","AdvancedRefund","2023-02-14T16:37:03.196Z"
"94ef0b2b-d19f-40ee-9cd7-324dfeb5ef5b#5d3a67f2-7871-4d0f-80c1-a9f5b8be5cae","114-2139354-2837003","23024107751","Closed","AdvancedRefund","2023-02-14T16:36:18.637Z"
"06483f67-14f0-499c-9709-9f8c21b68f67#761f288a-9ed5-4923-97b5-c0dfdc021719","113-6359404-0517021","23024108221","Closed","AdvancedRefund","2023-02-14T16:35:51.696Z"
"dce5ab21-eb2e-4922-a9d4-545635547bc0#671341b0-89c6-40fb-a2df-944f7f70336b","114-6544471-8610656","20018934191","Closed","AdvancedRefund","2022-09-22T13:22:21.274Z"
"069b8668-9d85-4fdb-947d-d882bcf1699f#5f1f6bc5-aa77-4c51-a4ca-a0d997e6f1f0","113-9634611-3578610","15583073711","Closed","AdvancedRefund","2022-01-11T20:06:02.740Z"
"d020c669-50e7-4c3d-8ac7-1d8937f83853#5e75fa0f-64af-4a3c-b2f5-b45e11863821","113-0637508-7773867","15234868811","Closed","ReplacementOrder","2021-12-23T22:27:47.897Z"
"b62c3dbc-fc54-46d0-b968-85a5873ba30f#598f127a-6ac0-45b9-a43e-f515693f1f47","112-1433426-4743408","13931284631","Closed","AdvancedRefund","2021-10-06T16:09:20.544Z"
"ce936ec0-f807-477d-a0d1-48963ccaa4c3#c67bdfe5-219e-4d70-9e5f-674037db2c94","114-9289728-9797025","13318089371","Closed","AdvancedRefund","2021-08-24T18:42:58.246Z"
"d073504a-6101-43c7-aefe-bbf4ef5a1c80#5f397615-66b6-405c-9d43-323d1df191e0","111-0647444-1965837","10527491841","Closed","AdvancedRefund","2021-01-23T01:39:26.345Z"
"aa681140-b69a-4999-ba73-a54a0fa7f155#4e91eb7a-611f-4d5a-b949-f16f37ba4f11","111-6525532-4133063","10522813431","Closed","AdvancedRefund","2021-01-22T22:04:11.573Z"
"00b80a69-275b-47e2-968f-c1cc8d0ac284#92c328c4-3c6e-447e-a9b8-ba325cc7ef00","111-0647444-1965837","10522719731","Closed","AdvancedRefund","2021-01-22T22:00:37.156Z"
"b1bcc86c-2095-4b73-a179-2f48d3759514#097df7dc-a7c4-4d91-a404-8b1f83a85a34","111-5677342-6729010","10521577231","Closed","AdvancedRefund","2021-01-22T21:04:01.246Z"
"b96cf923-4e0e-43c2-8651-c6a99ab71729#718b73ca-e148-4503-9096-e04ef3e9bbd7","111-8249073-4128211","9726869491","Closed","AdvancedRefund","2020-11-25T16:05:54.275Z"
"5c025c30-e68a-46f4-a462-e4dc8a1b5429#ed514a34-4b72-436d-a682-be744c2a228f","114-1512868-0865816","5988673571","Closed","ReplacementOrder","2019-09-30T15:39:28.039Z"
"86703d9e-729a-4e19-9bc5-4838c407b928#cbc16afe-2ff9-4ebf-a4d3-8a441f1534f3","111-2119818-9858619","3483880001","Closed","AdvancedRefund","2018-06-09T00:52:42.918Z"
"0a889841-8caa-4df4-b708-9aba3787939e#1616d0a8-477d-4b1b-b191-5689d85b0d9d","111-3515274-9550650","3088666511","Closed","AdvancedRefund","2018-02-12T22:17:26.164Z"
