id,date,amount,transactionType,status,description,accountRef_id,accountRef_name,accountRef_type,category_id,category_name,category_categoryType,category_parentId,category_parentName,tagData_id,tagData_name,py_insert_ts
1823088252,2023-04-21,-9.21,DEBIT,POSTED,SQ *REFORMATION BREWERY Woodstoc,10512611,Chase Checking,BankAccount,708,Alcohol & Bars,EXPENSE,7,Food & Dining,nan,nan,2023-04-23 21:04:39.930415
1823088251,2023-04-21,-9.21,DEBIT,POSTED,SQ *REFORMATION BREWERY Woodstoc,10512611,Chase Checking,BankAccount,708,Alcohol & Bars,EXPENSE,7,Food & Dining,nan,nan,2023-04-23 21:04:39.930415
1823088250,2023-04-21,-13.77,DEBIT,POSTED,SQ *REFORMATION BREWERY Woodstoc,10512611,Chase Checking,BankAccount,708,Alcohol & Bars,EXPENSE,7,Food & Dining,nan,nan,2023-04-23 21:04:39.930415
1823088249,2023-04-21,-9.21,DEBIT,POSTED,SQ *REFORMATION BREWERY Woodstoc,10512611,Chase Checking,BankAccount,708,Alcohol & Bars,EXPENSE,7,Food & Dining,nan,nan,2023-04-23 21:04:39.930415
1823088248,2023-04-21,-1200.0,DEBIT,POSTED,Online Transfer to  CHK ...0911,10512611,Chase Checking,BankAccount,21,Transfer,NO_CATEGORY,0,Root,nan,nan,2023-04-23 21:04:39.930415
1823088247,2023-04-21,1349.9,CREDIT,POSTED,SITEONE LANDSCAP DIRECT DEP,10512611,Chase Checking,BankAccount,3001,Paycheck,INCOME,30,Income,nan,nan,2023-04-23 21:04:39.930415
1823088239,2023-04-21,-22.5,DEBIT,POSTED,PAY* PAYMENTSMD.COM,10107720,Chase Freedom,CreditAccount,502,Doctor,EXPENSE,5,Health & Fitness,nan,nan,2023-04-23 21:04:39.930415
1823088237,2023-04-21,-3.0,DEBIT,POSTED,BUYMEACOFFEE,10107720,Chase Freedom,CreditAccount,704,Coffee Shops,EXPENSE,7,Food & Dining,nan,nan,2023-04-23 21:04:39.930415
1823088236,2023-04-21,1200.0,CREDIT,POSTED,Online Transfer from  CHK ...154,11407455,Joint Checking,BankAccount,21,Transfer,NO_CATEGORY,0,Root,nan,nan,2023-04-23 21:04:39.930415
1823088235,2023-04-21,1200.0,CREDIT,POSTED,Online Transfer from  CHK ...512,11407455,Joint Checking,BankAccount,21,Transfer,NO_CATEGORY,0,Root,nan,nan,2023-04-23 21:04:39.930415
1823047004,2023-04-21,1600.0,CREDIT,POSTED,ACH Electronic Credit,11286907,Citi Checking,BankAccount,21,Transfer,NO_CATEGORY,0,Root,nan,nan,2023-04-23 21:04:39.930415
1823033056,2023-04-21,-12.5,DEBIT,POSTED,Heart of Vinings Dentistry,10459143,BarclayCard,CreditAccount,501,Dentist,EXPENSE,5,Health & Fitness,nan,nan,2023-04-23 21:04:39.930415
1823051488,2023-04-20,-40.0,DEBIT,POSTED,East Cobb Islamic Center,11470386,Shared Wells Fargo,CreditAccount,802,Charity,EXPENSE,8,Gifts & Donations,nan,nan,2023-04-23 21:04:39.930415
1823047005,2023-04-20,-143.0,DEBIT,POSTED,Cobb EMC,11286907,Citi Checking,BankAccount,1661586,Electricity,EXPENSE,13,Bills & Utilities,nan,nan,2023-04-23 21:04:39.930415
1823033057,2023-04-20,-11.96,DEBIT,POSTED,JIMMY JOHNS - 1969,10459143,BarclayCard,CreditAccount,707,Restaurants,EXPENSE,7,Food & Dining,nan,nan,2023-04-23 21:04:39.930415
1823032184,2023-04-20,-6.19,DEBIT,POSTED,PAYPAL *HOME DEPOT 4029357733 GA,10694965,Shared Citi Credit,CreditAccount,1203,Home Improvement,EXPENSE,12,Home,nan,nan,2023-04-23 21:04:39.930415
1823032182,2023-04-20,-60.0,DEBIT,POSTED,TARGET 00021212 MARIETTA GA,10694965,Shared Citi Credit,CreditAccount,2,Shopping,EXPENSE,0,Root,nan,nan,2023-04-23 21:04:39.930415
1823032181,2023-04-20,-145.12,DEBIT,POSTED,TARGET 00021212 MARIETTA GA,10694965,Shared Citi Credit,CreditAccount,2,Shopping,EXPENSE,0,Root,nan,nan,2023-04-23 21:04:39.930415
1823032180,2023-04-20,-42.36,DEBIT,POSTED,KROGER CO 365 MARIETTA GA,10694965,Shared Citi Credit,CreditAccount,701,Groceries,EXPENSE,7,Food & Dining,nan,nan,2023-04-23 21:04:39.930415
1822898057,2023-04-20,-400.0,DEBIT,POSTED,PAYPAL           INST XFER  FRIE,10512611,Chase Checking,BankAccount,2,Shopping,EXPENSE,0,Root,nan,nan,2023-04-23 21:04:39.930415
1822898056,2023-04-20,-32.11,DEBIT,POSTED,TST* Moxie Burger- Shal Marietta,10512611,Chase Checking,BankAccount,707,Restaurants,EXPENSE,7,Food & Dining,nan,nan,2023-04-23 21:04:39.930415
1823032183,2023-04-19,-237.41,DEBIT,POSTED,THE HOME DEPOT 1763 MARIETTA GA,10694965,Shared Citi Credit,CreditAccount,1203,Home Improvement,EXPENSE,12,Home,nan,nan,2023-04-23 21:04:39.930415
1822898052,2023-04-19,-8.24,DEBIT,POSTED,RIGHT STUFF FOO MARIETTA GA,10512611,Chase Checking,BankAccount,701,Groceries,EXPENSE,7,Food & Dining,nan,nan,2023-04-23 21:04:39.930415
1822898051,2023-04-19,-3.64,DEBIT,POSTED,5224 PF PLNTF HOLDINGS WOODSTOCK,10512611,Chase Checking,BankAccount,706,Fast Food,EXPENSE,7,Food & Dining,nan,nan,2023-04-23 21:04:39.930415
1822898046,2023-04-19,-100.0,DEBIT,POSTED,DRK BRADLEY PARK GA,10107720,Chase Freedom,CreditAccount,1207,Mortgage & Rent,EXPENSE,12,Home,nan,nan,2023-04-23 21:04:39.930415
