type,id,accountId,accountRef,date,description,category,amount,currency,status,matchState,fiData,isReviewed,transactionType,etag,isExpense,isPending,discretionaryType,isLinkedToRule,transactionReviewState,lastUpdatedDate,merchantId,transactionDescriptionRuleId,notes,tagData,parentId,principalCurrency,interestCurrency,escrowCurrency
CashAndCreditTransaction,6162189_1825339424_0,6162189_11286907,"{'id': '11286907', 'name': 'Citi Checking', 'type': 'BankAccount', 'hiddenFromPlanningAndTrends': False}",2023-05-05,ACH Electronic Credit,"{'id': '6162189_21', 'name': 'Transfer', 'categoryType': 'NO_CATEGORY', 'parentId': '6162189_0', 'parentName': 'Root'}",1600.0,USD,POSTED,NOT_MATCHED,"{'id': '0809166340250000001683244800000', 'date': '2023-05-05', 'amount': 1600.0, 'description': 'ACH Electronic Credit', 'inferredDescription': 'ACH Electronic Credit', 'inferredCategory': {'id': '6162189_21', 'name': 'Transfer'}}",False,CREDIT,1683466712000,False,False,NONE,False,UNREVIEWED,2023-05-07T13:38:32Z,,,,,,,,
CashAndCreditTransaction,6162189_1825281774_0,6162189_10459143,"{'id': '10459143', 'name': 'BarclayCard', 'type': 'CreditAccount', 'hiddenFromPlanningAndTrends': False}",2023-05-05,Payment Received,"{'id': '6162189_2101', 'name': 'Credit Card Payment', 'categoryType': 'NO_CATEGORY', 'parentId': '6162189_21', 'parentName': 'Transfer'}",1000.0,USD,POSTED,NOT_MATCHED,"{'date': '2023-05-05', 'amount': 1000.0, 'description': 'Payment Received', 'inferredDescription': 'Payment Received', 'inferredCategory': {'id': '6162189_2101', 'name': 'Credit Card Payment'}}",False,CREDIT,1683431527000,False,False,NONE,False,UNREVIEWED,2023-05-07T03:52:07Z,,,,,,,,
CashAndCreditTransaction,6162189_1825265132_0,6162189_10694965,"{'id': '10694965', 'name': 'Shared Citi Credit', 'type': 'CreditAccount', 'hiddenFromPlanningAndTrends': False}",2023-05-05,TARGET 00017806 WOODSTOCK GA,"{'id': '6162189_2', 'name': 'Shopping', 'categoryType': 'EXPENSE', 'parentId': '6162189_0', 'parentName': 'Root'}",-50.15,USD,POSTED,NOT_MATCHED,"{'id': '231250002', 'date': '2023-05-05', 'amount': -50.15, 'description': 'TARGET 00017806 WOODSTOCK GA', 'inferredDescription': 'TARGET 00017806 WOODSTOCK GA', 'inferredCategory': {'id': '6162189_2', 'name': 'Shopping'}}",False,DEBIT,1683427520000,True,False,DISCRETIONARY,False,UNREVIEWED,2023-05-07T02:45:20Z,1072.0,,,,,,,
CashAndCreditTransaction,6162189_1825265131_0,6162189_10694965,"{'id': '10694965', 'name': 'Shared Citi Credit', 'type': 'CreditAccount', 'hiddenFromPlanningAndTrends': False}",2023-05-05,TARGET 00017806 WOODSTOCK GA,"{'id': '6162189_2', 'name': 'Shopping', 'categoryType': 'EXPENSE', 'parentId': '6162189_0', 'parentName': 'Root'}",-0.6,USD,POSTED,NOT_MATCHED,"{'id': '231250001', 'date': '2023-05-05', 'amount': -0.6, 'description': 'TARGET 00017806 WOODSTOCK GA', 'inferredDescription': 'TARGET 00017806 WOODSTOCK GA', 'inferredCategory': {'id': '6162189_2', 'name': 'Shopping'}}",False,DEBIT,1683427520000,True,False,DISCRETIONARY,False,UNREVIEWED,2023-05-07T02:45:20Z,1072.0,,,,,,,
CashAndCreditTransaction,6162189_1825265130_0,6162189_10694965,"{'id': '10694965', 'name': 'Shared Citi Credit', 'type': 'CreditAccount', 'hiddenFromPlanningAndTrends': False}",2023-05-05,THE HOME DEPOT #1763 MARIETTA GA,"{'id': '6162189_1203', 'name': 'Home Improvement', 'categoryType': 'EXPENSE', 'parentId': '6162189_12', 'parentName': 'Home'}",-44.31,USD,POSTED,NOT_MATCHED,"{'id': '231250004', 'date': '2023-05-05', 'amount': -44.31, 'description': 'THE HOME DEPOT #1763 MARIETTA GA', 'inferredDescription': 'THE HOME DEPOT #1763 MARIETTA GA', 'inferredCategory': {'id': '6162189_1203', 'name': 'Home Improvement'}}",False,DEBIT,1683427520000,True,False,DISCRETIONARY,False,UNREVIEWED,2023-05-07T02:45:20Z,1024.0,,,,,,,
CashAndCreditTransaction,6162189_1825265129_0,6162189_10694965,"{'id': '10694965', 'name': 'Shared Citi Credit', 'type': 'CreditAccount', 'hiddenFromPlanningAndTrends': False}",2023-05-05,KROGER #657 MARIETTA GA,"{'id': '6162189_701', 'name': 'Groceries', 'categoryType': 'EXPENSE', 'parentId': '6162189_7', 'parentName': 'Food & Dining'}",-65.43,USD,POSTED,NOT_MATCHED,"{'id': '231250003', 'date': '2023-05-05', 'amount': -65.43, 'description': 'KROGER #657 MARIETTA GA', 'inferredDescription': 'KROGER #657 MARIETTA GA', 'inferredCategory': {'id': '6162189_701', 'name': 'Groceries'}}",False,DEBIT,1683427520000,True,False,NON_DISCRETIONARY,False,UNREVIEWED,2023-05-07T02:45:20Z,4088.0,,,,,,,
CashAndCreditTransaction,6162189_1825262982_0,6162189_10107720,"{'id': '10107720', 'name': 'Chase Freedom', 'type': 'CreditAccount', 'hiddenFromPlanningAndTrends': False}",2023-05-05,DUNKIN #353213 Q35,"{'id': '6162189_704', 'name': 'Coffee Shops', 'categoryType': 'EXPENSE', 'parentId': '6162189_7', 'parentName': 'Food & Dining'}",-3.17,USD,POSTED,NOT_MATCHED,"{'id': '202305051804141230410#20230410', 'date': '2023-05-05', 'amount': -3.17, 'description': 'DUNKIN #353213 Q35', 'inferredDescription': 'DUNKIN #353213 Q35', 'inferredCategory': {'id': '6162189_704', 'name': 'Coffee Shops'}}",False,DEBIT,1683426999000,True,False,DISCRETIONARY,False,UNREVIEWED,2023-05-07T02:36:39Z,3010.0,,,,,,,
CashAndCreditTransaction,6162189_1825262971_0,6162189_11407455,"{'id': '11407455', 'name': 'Joint Checking', 'type': 'BankAccount', 'hiddenFromPlanningAndTrends': False}",2023-05-05,Online Transfer from  CHK ...154,"{'id': '6162189_21', 'name': 'Transfer', 'categoryType': 'NO_CATEGORY', 'parentId': '6162189_0', 'parentName': 'Root'}",1200.0,USD,POSTED,NOT_MATCHED,"{'id': 'TX120037522420230505', 'date': '2023-05-05', 'amount': 1200.0, 'description': 'Online Transfer from  CHK ...154', 'inferredDescription': 'Online Transfer from  CHK ...154', 'inferredCategory': {'id': '6162189_21', 'name': 'Transfer'}}",False,CREDIT,1683426998000,False,False,NONE,False,UNREVIEWED,2023-05-07T02:36:38Z,,,,,,,,
CashAndCreditTransaction,6162189_1825262970_0,6162189_11407455,"{'id': '11407455', 'name': 'Joint Checking', 'type': 'BankAccount', 'hiddenFromPlanningAndTrends': False}",2023-05-05,Online Transfer from  CHK ...512,"{'id': '6162189_21', 'name': 'Transfer', 'categoryType': 'NO_CATEGORY', 'parentId': '6162189_0', 'parentName': 'Root'}",1200.0,USD,POSTED,NOT_MATCHED,"{'id': 'TX120025522420230505', 'date': '2023-05-05', 'amount': 1200.0, 'description': 'Online Transfer from  CHK ...512', 'inferredDescription': 'Online Transfer from  CHK ...512', 'inferredCategory': {'id': '6162189_21', 'name': 'Transfer'}}",False,CREDIT,1683426998000,False,False,NONE,False,UNREVIEWED,2023-05-07T02:36:38Z,,,,,,,,
CashAndCreditTransaction,6162189_1825262969_0,6162189_10512611,"{'id': '10512611', 'name': 'Chase Checking', 'type': 'BankAccount', 'hiddenFromPlanningAndTrends': False}",2023-05-05,Zelle payment to Gregory George,"{'id': '6162189_1203', 'name': 'Home Improvement', 'categoryType': 'EXPENSE', 'parentId': '6162189_12', 'parentName': 'Home'}",-350.0,USD,POSTED,NOT_MATCHED,"{'id': 'TX-350117852420230505', 'date': '2023-05-05', 'amount': -350.0, 'description': 'Zelle payment to Gregory George', 'inferredDescription': 'Zelle payment to Gregory George', 'inferredCategory': {'id': '6162189_21', 'name': 'Transfer'}}",True,DEBIT,1683474600000,True,False,DISCRETIONARY,False,REVIEWED,2023-05-07T15:50:00Z,,,,,,,,
